Alior Bank,              9:30 13:30 16:00,            11:00 15:30 
Bank BPH,                8:30 12:40 14:20,            12:15 16:15 
Bank Millennium,         11:00 15:00 17:30,           9:00  13:00 16:00
Bank Pocztowy,           09:00 13:00 15:00,           11:00 15:00 17:30
BGK,                     09:00 13:00 15:30,           09:00 13:30 16:00
BG¯,                     9:00  12:45 15:45,           12.30 16.30 18.30
BOŒ,                     9:30 13:30 16:00,            11:00 15:00 17:30
BZ WBK,                  08:15 12:15 14:45,           11:00 15:00 17:00
Citi Handlowy,           08:00 12:15 14:40,           12:30 16:00 17:30
Credit Agricole,         08:00 12:00 14:30,           11:00 15:00 17:30
Deutsche Bank PBC,       07:50 12:00 14:30 19:30,     10:30 14:30 16:30
DnB NORD,                09:00 12:00 13:30,           11:00 15:00 
Eurobank,                08:00 11:30 14:30,           10:30 14:30 16:30
Getin Bank,              08:20 12:15 14:30,           10:30 14:20 17:00
ING Bank Œl¹ski,         08:10 11:30 14:30,           11:00 15:00 17:30
Inteligo,                7:30  11:30 15:00,           10:30 14:30 17:30
INVEST – BANK,           08:00 11:30 14:15,           12:00 15:30 18:00
Kredyt Bank,             08:00 11:30 14:30,           12:00 16:00 18:00
mBank,                   06:00 10:00 13:30,           12:00 15:00 18:15
Meritum Bank,            08:30 12:30 15:00,           10:30 14:30 
MultiBank,               05:55 09:55 13:25,           12:00 15:00 18:15
Noble Bank SA,           08:15 12:12 14:30,           10:00 14:00 17:00
Nordea Bank,             08:30 11:50 14:30,           10:45 14:45 17:15
PKO BP,                  09:30 13:30 16:00,           10:30 14:30 17:00
POLBANK,                 09:30 13:30 16:00,           11:30 14:30 17:30
Raiffeisen Bank Polska,  08:15 12:15 14:30,           09:00 12:00 16:00
Toyota Bank,             8:29 12:29  14:59,           10:30 14:30 17:00
VW Bank direct,          08:00 11:50 14:20,           12:00 16:00 18:00
